Date,Time,Open,High,Low,Close,Volume,Change,Volatility,CBR,Date,Weekday
28/04/2020,08:00,195.391693,197.05,193.93,195.99841,13064.54,0.310513201,0.015967926,0.194460577,28/04/2020,Tuesday
28/04/2020,12:00,195.99,197.63,194.02,195.3,16007.75,-0.352058779,0.018419307,0.191135734,28/04/2020,Tuesday
28/04/2020,16:00,195.363783,196.83,195.15,195.4,6303.99,0.018538236,0.008599342,0.021557738,28/04/2020,Tuesday
28/04/2020,20:00,195.5,197.76,195.0,196.55,7842.82,0.537084399,0.014117647,0.380434783,28/04/2020,Tuesday
29/04/2020,00:00,196.63,199.92,196.46,198.17,25814.92,0.783196867,0.017596501,0.445086705,29/04/2020,Wednesday
29/04/2020,04:00,198.25,207.0,197.52,205.04,41695.29,3.424968474,0.047818411,0.716244726,29/04/2020,Wednesday
29/04/2020,08:00,205.04,209.428683,204.68,207.373243,23431.14,1.137945279,0.023159788,0.491345285,29/04/2020,Wednesday
29/04/2020,12:00,207.38,210.9,207.3,209.85,29435.05,1.191050246,0.017359437,0.686111111,29/04/2020,Wednesday
29/04/2020,16:00,209.860798,218.67,209.090169,215.54,60354.42,2.706175738,0.045648502,0.592829038,29/04/2020,Wednesday
29/04/2020,20:00,215.511146,216.6,213.0,215.3,15331.44,-0.097974515,0.016704472,0.058651667,29/04/2020,Wednesday
30/04/2020,00:00,215.31,225.865487,214.137393,225.29,34356.76,4.635177186,0.054470735,0.850948159,30/04/2020,Thursday
30/04/2020,04:00,225.3,226.82,216.08,220.19,61317.99,-2.268086995,0.047669774,0.475791434,30/04/2020,Thursday
30/04/2020,08:00,220.144058,220.46,201.915663,211.6,70829.11,-3.881121334,0.084237282,0.460736774,30/04/2020,Thursday
30/04/2020,12:00,211.4,213.15,206.46,208.34176,17316.96,-1.446660360,0.031646168,0.457136024,30/04/2020,Thursday
30/04/2020,16:00,208.232446,212.89,202.56,211.5,31762.49,1.569185813,0.049608023,0.316316941,30/04/2020,Thursday
30/04/2020,20:00,211.37,212.4,205.51,206.39,10829.54,-2.356058097,0.032596868,0.722786647,30/04/2020,Thursday
01/05/2020,00:00,206.34,210.390947,206.34,208.82,6430.57,1.201899777,0.019632388,0.612202529,01/05/2020,Friday
01/05/2020,04:00,208.99314,214.9,208.99314,212.64,15125.47,1.744966366,0.028263416,0.617394013,01/05/2020,Friday
01/05/2020,08:00,212.77,217.73,211.92,215.479977,22964.59,1.273664990,0.027306481,0.466433219,01/05/2020,Friday
01/05/2020,12:00,215.5,215.925745,209.76,210.020642,18961.88,-2.542625522,0.028611346,0.888677362,01/05/2020,Friday
01/05/2020,16:00,209.97,211.95,208.4,209.22,13279.45,-0.357193885,0.016907177,0.211267606,01/05/2020,Friday
01/05/2020,20:00,209.23,213.72,208.3,211.696371,9922.79,1.178784591,0.025904507,0.455050000,01/05/2020,Friday
02/05/2020,00:00,211.693222,213.5,210.95,213.19,6444.76,0.707050507,0.012045733,0.586971765,02/05/2020,Saturday
02/05/2020,04:00,213.19,213.64,210.658705,211.18,3547.56,-0.942820958,0.013984216,0.674203660,02/05/2020,Saturday
02/05/2020,08:00,211.11,213.0,210.32,212.4,3574.25,0.611055848,0.012694804,0.481343284,02/05/2020,Saturday
02/05/2020,12:00,212.43,214.38,211.857904,212.96,8214.82,0.249493951,0.011872598,0.210142675,02/05/2020,Saturday
02/05/2020,16:00,212.97,215.61,210.9796,213.36,15863.8,0.183124384,0.021742029,0.084225985,02/05/2020,Saturday
02/05/2020,20:00,213.26319,214.39,212.9,214.12,5220.19,0.401761786,0.006986672,0.575040268,02/05/2020,Saturday
03/05/2020,00:00,214.09,219.51,213.67,218.14,20413.57,1.891727778,0.027278247,0.693493151,03/05/2020,Sunday
03/05/2020,04:00,218.159905,218.6,211.31,213.87,20662.86,-1.966403955,0.033415856,0.588464335,03/05/2020,Sunday
03/05/2020,08:00,213.66,215.92,213.44,214.24,5446.9,0.271459328,0.011607226,0.233870968,03/05/2020,Sunday
03/05/2020,12:00,214.23,214.23,204.11,208.24,31802.21,-2.796060309,0.047238949,0.591897233,03/05/2020,Sunday
03/05/2020,16:00,208.25,209.96841,207.0,209.00428,7931.32,0.362199280,0.014254070,0.254102365,03/05/2020,Sunday
03/05/2020,20:00,209.0,211.743285,207.02,209.91,14517.06,0.435406699,0.022599450,0.192662522,03/05/2020,Sunday
